Pick Out,Family,Name (Stat Block),Name (As in Rule Book),AC:,Special,HD:,HD Sort #:,# Atk: ,Damage: ,Mvmt: ,# App: ,Save As: ,Morale: ,Treasure:,XP: ,Source,Quick Stats (Parenthesis),Quick Stats (Colon:),Parenthesis Text only,Colon Text only,Check vs. Rulebook
9,ELEMENTAL BEING,Fire Elemental*,"Elemental, Fire*,Staff",18 ‡,Take double damage from water attacks; +1d8 points of damage against creatures which are cold or icy in nature and set fire to flammables they contact.,8*,8,1,1d12,40' Fly 30',special,F8,10,,945 ,Rulebook,"Fire Elemental* (AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 40' Fly 30', Sv F8, Ml 10)","Fire Elemental*: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 40' Fly 30', Sv F8, Ml 10","Fire Elemental* (AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 40' Fly 30', Sv F8, Ml 10)","Fire Elemental*: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 40' Fly 30', Sv F8, Ml 10","Elemental, Fire*,Staff: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 40' Fly 30', Sv F8, Ml 10, XP 945 , #Ap special"
9,ELEMENTAL BEING,Water Elemental*,"Elemental, Water*, Device",20 ‡,"Take double damage when attacked from air/wind attacks. A water; +1d8 points of damage againstvcreatures, vehicles, or structures which are in the water.",12* (+10),12,1,2d8,20' (15') Swim 60',special,F12,10,,"1,975 ",Rulebook,"Water Elemental* (AC 20 ‡, HD 12* (+10), #At 1, Dam 2d8, Mv 20' (15') Swim 60', Sv F12, Ml 10)","Water Elemental*: AC 20 ‡, HD 12* (+10), #At 1, Dam 2d8, Mv 20' (15') Swim 60', Sv F12, Ml 10","Water Elemental* (AC 20 ‡, HD 12* (+10), #At 1, Dam 2d8, Mv 20' (15') Swim 60', Sv F12, Ml 10)","Water Elemental*: AC 20 ‡, HD 12* (+10), #At 1, Dam 2d8, Mv 20' (15') Swim 60', Sv F12, Ml 10","Elemental, Water*, Device: AC 20 ‡, HD 12* (+10), #At 1, Dam 2d8, Mv 20' (15') Swim 60', Sv F12, Ml 10, XP 1,975 , #Ap special"
9,ELEMENTAL BEING,Water Elemental*,"Elemental, Water*, Spell",22 ‡,"Take double damage when attacked from air/wind attacks. A water; +1d8 points of damage againstvcreatures, vehicles, or structures which are in the water.",16* (+12),16,1,3d6,20' (15') Swim 60',special,F16,10,,"3,385",Rulebook,"Water Elemental* (AC 22 ‡, HD 16* (+12), #At 1, Dam 3d6, Mv 20' (15') Swim 60', Sv F16, Ml 10)","Water Elemental*: AC 22 ‡, HD 16* (+12), #At 1, Dam 3d6, Mv 20' (15') Swim 60', Sv F16, Ml 10","Water Elemental* (AC 22 ‡, HD 16* (+12), #At 1, Dam 3d6, Mv 20' (15') Swim 60', Sv F16, Ml 10)","Water Elemental*: AC 22 ‡, HD 16* (+12), #At 1, Dam 3d6, Mv 20' (15') Swim 60', Sv F16, Ml 10","Elemental, Water*, Spell: AC 22 ‡, HD 16* (+12), #At 1, Dam 3d6, Mv 20' (15') Swim 60', Sv F16, Ml 10, XP 3,385, #Ap special"
9,ELEMENTAL BEING,Water Elemental*,"Elemental, Water*, Staff",18 ‡,"Take double damage when attacked from air/wind attacks. A water; +1d8 points of damage againstvcreatures, vehicles, or structures which are in the water.",8*,8,1,1d12,20' (15') Swim 60',special,F8,10,,945 ,Rulebook,"Water Elemental* (AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 20' (15') Swim 60', Sv F8, Ml 10)","Water Elemental*: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 20' (15') Swim 60', Sv F8, Ml 10","Water Elemental* (AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 20' (15') Swim 60', Sv F8, Ml 10)","Water Elemental*: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 20' (15') Swim 60', Sv F8, Ml 10","Elemental, Water*, Staff: AC 18 ‡, HD 8*, #At 1, Dam 1d12, Mv 20' (15') Swim 60', Sv F8, Ml 10, XP 945 , #Ap special"
9,ANIMAL,Elephant,Elephant,18,,9 (+8)*,9,2 tusks or 1 trample,2d4/2d4 or 4d8,40' (15'),Wild 1d20,F9,8,special,"1,075",Rulebook,"Elephant (AC 18, HD 9 (+8)*, #At 2 tusks or 1 trample, Dam 2d4/2d4 or 4d8, Mv 40' (15'), Sv F9, Ml 8)","Elephant: AC 18, HD 9 (+8)*, #At 2 tusks or 1 trample, Dam 2d4/2d4 or 4d8, Mv 40' (15'), Sv F9, Ml 8","Elephant (AC 18, HD 9 (+8)*, #At 2 tusks or 1 trample, Dam 2d4/2d4 or 4d8, Mv 40' (15'), Sv F9, Ml 8)","Elephant: AC 18, HD 9 (+8)*, #At 2 tusks or 1 trample, Dam 2d4/2d4 or 4d8, Mv 40' (15'), Sv F9, Ml 8","Elephant: AC 18, HD 9 (+8)*, #At 2 tusks or 1 trample, Dam 2d4/2d4 or 4d8, Mv 40' (15'), Sv F9, Ml 8, XP 1,075, #Ap Wild 1d20"
9,ANIMAL,Elk,Elk,13,,3,3,1 butt,1d6,80' (10'),Wild 3d10,F3,5 (7),,145,Antelope in Rulebook,"Elk (AC 13, HD 3, #At 1 butt, Dam 1d6, Mv 80' (10'), Sv F3, Ml 5 (7))","Elk: AC 13, HD 3, #At 1 butt, Dam 1d6, Mv 80' (10'), Sv F3, Ml 5 (7)","Elk (AC 13, HD 3, #At 1 butt, Dam 1d6, Mv 80' (10'), Sv F3, Ml 5 (7))","Elk: AC 13, HD 3, #At 1 butt, Dam 1d6, Mv 80' (10'), Sv F3, Ml 5 (7)","Elk: AC 13, HD 3, #At 1 butt, Dam 1d6, Mv 80' (10'), Sv F3, Ml 5 (7), XP 145, #Ap Wild 3d10"
9,ANIMAL,Giant Ferret,"Ferret, Giant",17,,5,5,1 bite + hold,2d4 + 2d4 per round,50',1d4 Wild/Lair 1d6,F5,8,V,360,Rulebook,"Giant Ferret (AC 17, HD 5, #At 1 bite + hold, Dam 2d4 + 2d4 per round, Mv 50', Sv F5, Ml 8)","Giant Ferret: AC 17, HD 5, #At 1 bite + hold, Dam 2d4 + 2d4 per round, Mv 50', Sv F5, Ml 8","Giant Ferret (AC 17, HD 5, #At 1 bite + hold, Dam 2d4 + 2d4 per round, Mv 50', Sv F5, Ml 8)","Giant Ferret: AC 17, HD 5, #At 1 bite + hold, Dam 2d4 + 2d4 per round, Mv 50', Sv F5, Ml 8","Ferret, Giant: AC 17, HD 5, #At 1 bite + hold, Dam 2d4 + 2d4 per round, Mv 50', Sv F5, Ml 8, XP 360, #Ap 1d4 Wild/Lair 1d6"
9,AQUATIC,Giant Barracuda,"Fish, Barracuda-Giant",15,,9 (+8),9,1 bite,2d8+1,Swim 60' (10'),Wild 1,F9,10,,"1,075",Rulebook,"Giant Barracuda (AC 15, HD 9 (+8), #At 1 bite, Dam 2d8+1, Mv Swim 60' (10'), Sv F9, Ml 10)","Giant Barracuda: AC 15, HD 9 (+8), #At 1 bite, Dam 2d8+1, Mv Swim 60' (10'), Sv F9, Ml 10","Giant Barracuda (AC 15, HD 9 (+8), #At 1 bite, Dam 2d8+1, Mv Swim 60' (10'), Sv F9, Ml 10)","Giant Barracuda: AC 15, HD 9 (+8), #At 1 bite, Dam 2d8+1, Mv Swim 60' (10'), Sv F9, Ml 10","Fish, Barracuda-Giant: AC 15, HD 9 (+8), #At 1 bite, Dam 2d8+1, Mv Swim 60' (10'), Sv F9, Ml 10, XP 1,075, #Ap Wild 1"
9,AQUATIC,Huge Barracuda,"Fish, Barracuda-Huge",16,,5,5,1 bite,2d6,Swim 60',Wild 2d4 ,F5,8,None ,360 ,Rulebook,"Huge Barracuda (AC 16, HD 5, #At 1 bite, Dam 2d6, Mv Swim 60', Sv F5, Ml 8)","Huge Barracuda: AC 16, HD 5, #At 1 bite, Dam 2d6, Mv Swim 60', Sv F5, Ml 8","Huge Barracuda (AC 16, HD 5, #At 1 bite, Dam 2d6, Mv Swim 60', Sv F5, Ml 8)","Huge Barracuda: AC 16, HD 5, #At 1 bite, Dam 2d6, Mv Swim 60', Sv F5, Ml 8","Fish, Barracuda-Huge: AC 16, HD 5, #At 1 bite, Dam 2d6, Mv Swim 60', Sv F5, Ml 8, XP 360 , #Ap Wild 2d4 "
9,AQUATIC,Giant Bass,"Fish, Giant Bass",13,,2,2,1 bite,1d6,Swim 40' (10'),Wild 1d6,F2,8,,75,Rulebook,"Giant Bass (AC 13, HD 2, #At 1 bite, Dam 1d6, Mv Swim 40' (10'), Sv F2, Ml 8)","Giant Bass: AC 13, HD 2, #At 1 bite, Dam 1d6, Mv Swim 40' (10'), Sv F2, Ml 8","Giant Bass (AC 13, HD 2, #At 1 bite, Dam 1d6, Mv Swim 40' (10'), Sv F2, Ml 8)","Giant Bass: AC 13, HD 2, #At 1 bite, Dam 1d6, Mv Swim 40' (10'), Sv F2, Ml 8","Fish, Giant Bass: AC 13, HD 2, #At 1 bite, Dam 1d6, Mv Swim 40' (10'), Sv F2, Ml 8, XP 75, #Ap Wild 1d6"
9,AQUATIC,Giant Catfish,"Fish, Giant Catfish",16,,8,8,1 bite/2 fins,2d8/1d4+poison/1d4+poison,Swim 30' (10'),Wild 1d2,F8,8,,875,Rulebook,"Giant Catfish (AC 16, HD 8, #At 1 bite/2 fins, Dam 2d8/1d4+poison/1d4+poison, Mv Swim 30' (10'), Sv F8, Ml 8)","Giant Catfish: AC 16, HD 8, #At 1 bite/2 fins, Dam 2d8/1d4+poison/1d4+poison, Mv Swim 30' (10'), Sv F8, Ml 8","Giant Catfish (AC 16, HD 8, #At 1 bite/2 fins, Dam 2d8/1d4+poison/1d4+poison, Mv Swim 30' (10'), Sv F8, Ml 8)","Giant Catfish: AC 16, HD 8, #At 1 bite/2 fins, Dam 2d8/1d4+poison/1d4+poison, Mv Swim 30' (10'), Sv F8, Ml 8","Fish, Giant Catfish: AC 16, HD 8, #At 1 bite/2 fins, Dam 2d8/1d4+poison/1d4+poison, Mv Swim 30' (10'), Sv F8, Ml 8, XP 875, #Ap Wild 1d2"
9,AQUATIC,Giant Piranha,"Fish, Giant Piranha",15,,4,4,1 bite,1d8,Swim 50',Wild 2d4,F4,7 (11),,240,Rulebook,"Giant Piranha (AC 15, HD 4, #At 1 bite, Dam 1d8, Mv Swim 50', Sv F4, Ml 7 (11))","Giant Piranha: AC 15, HD 4, #At 1 bite, Dam 1d8, Mv Swim 50', Sv F4, Ml 7 (11)","Giant Piranha (AC 15, HD 4, #At 1 bite, Dam 1d8, Mv Swim 50', Sv F4, Ml 7 (11))","Giant Piranha: AC 15, HD 4, #At 1 bite, Dam 1d8, Mv Swim 50', Sv F4, Ml 7 (11)","Fish, Giant Piranha: AC 15, HD 4, #At 1 bite, Dam 1d8, Mv Swim 50', Sv F4, Ml 7 (11), XP 240, #Ap Wild 2d4"
9,INSECT,Giant Fly,"Fly, Giant",14,,2,2,1 bite,1d8,30' Fly 60',1d6 Wild 2d6,F2,8,,75,Rulebook,"Giant Fly (AC 14, HD 2, #At 1 bite, Dam 1d8, Mv 30' Fly 60', Sv F2, Ml 8)","Giant Fly: AC 14, HD 2, #At 1 bite, Dam 1d8, Mv 30' Fly 60', Sv F2, Ml 8","Giant Fly (AC 14, HD 2, #At 1 bite, Dam 1d8, Mv 30' Fly 60', Sv F2, Ml 8)","Giant Fly: AC 14, HD 2, #At 1 bite, Dam 1d8, Mv 30' Fly 60', Sv F2, Ml 8","Fly, Giant: AC 14, HD 2, #At 1 bite, Dam 1d8, Mv 30' Fly 60', Sv F2, Ml 8, XP 75, #Ap 1d6 Wild 2d6"
9,ANIMAL,Giant Frog,"Frog, Giant",13,,2,2,1 tongue or 1 bite,grab or 1d4+1,30' Swim 30',1d4 Wild 1d4,F2,6,,75,Rulebook,"Giant Frog (AC 13, HD 2, #At 1 tongue or 1 bite, Dam grab or 1d4+1, Mv 30' Swim 30', Sv F2, Ml 6)","Giant Frog: AC 13, HD 2, #At 1 tongue or 1 bite, Dam grab or 1d4+1, Mv 30' Swim 30', Sv F2, Ml 6","Giant Frog (AC 13, HD 2, #At 1 tongue or 1 bite, Dam grab or 1d4+1, Mv 30' Swim 30', Sv F2, Ml 6)","Giant Frog: AC 13, HD 2, #At 1 tongue or 1 bite, Dam grab or 1d4+1, Mv 30' Swim 30', Sv F2, Ml 6","Frog, Giant: AC 13, HD 2, #At 1 tongue or 1 bite, Dam grab or 1d4+1, Mv 30' Swim 30', Sv F2, Ml 6, XP 75, #Ap 1d4 Wild 1d4"
9,FANTASTIC,Gargoyle*,Gargoyle*,15 ‡,,4**,4,2 claws/1 bite/1 horn,1d4/1d4/1d6/1d4,30' Fly 50' (15'),1d6 Wild/Lair 2d4,F6,11,C,320,Rulebook,"Gargoyle* (AC 15 ‡, HD 4**, #At 2 claws/1 bite/1 horn, Dam 1d4/1d4/1d6/1d4, Mv 30' Fly 50' (15'), Sv F6, Ml 11)","Gargoyle*: AC 15 ‡, HD 4**, #At 2 claws/1 bite/1 horn, Dam 1d4/1d4/1d6/1d4, Mv 30' Fly 50' (15'), Sv F6, Ml 11","Gargoyle* (AC 15 ‡, HD 4**, #At 2 claws/1 bite/1 horn, Dam 1d4/1d4/1d6/1d4, Mv 30' Fly 50' (15'), Sv F6, Ml 11)","Gargoyle*: AC 15 ‡, HD 4**, #At 2 claws/1 bite/1 horn, Dam 1d4/1d4/1d6/1d4, Mv 30' Fly 50' (15'), Sv F6, Ml 11","Gargoyle*: AC 15 ‡, HD 4**, #At 2 claws/1 bite/1 horn, Dam 1d4/1d4/1d6/1d4, Mv 30' Fly 50' (15'), Sv F6, Ml 11, XP 320, #Ap 1d6 Wild/Lair 2d4"
9,SIMPLE LIFE,Gelatinous Cube,Gelatinous Cube,12,,4*,4,1,2d4 + paralysis,20',1,F2,12,V,280,Rulebook,"Gelatinous Cube (AC 12, HD 4*, #At 1, Dam 2d4 + paralysis, Mv 20', Sv F2, Ml 12)","Gelatinous Cube: AC 12, HD 4*, #At 1, Dam 2d4 + paralysis, Mv 20', Sv F2, Ml 12","Gelatinous Cube (AC 12, HD 4*, #At 1, Dam 2d4 + paralysis, Mv 20', Sv F2, Ml 12)","Gelatinous Cube: AC 12, HD 4*, #At 1, Dam 2d4 + paralysis, Mv 20', Sv F2, Ml 12","Gelatinous Cube: AC 12, HD 4*, #At 1, Dam 2d4 + paralysis, Mv 20', Sv F2, Ml 12, XP 280, #Ap 1"
9,UNDEAD,Ghast,Ghast,15,,2**,2,2 claws/1 bite,1d4/1d4/1d4 + paralysis + stench,30',1d4 Wild/Lair 1d8,F2,9,B,125,Rulebook,"Ghast (AC 15, HD 2**, #At 2 claws/1 bite, Dam 1d4/1d4/1d4 + paralysis + stench, Mv 30', Sv F2, Ml 9)","Ghast: AC 15, HD 2**, #At 2 claws/1 bite, Dam 1d4/1d4/1d4 + paralysis + stench, Mv 30', Sv F2, Ml 9","Ghast (AC 15, HD 2**, #At 2 claws/1 bite, Dam 1d4/1d4/1d4 + paralysis + stench, Mv 30', Sv F2, Ml 9)","Ghast: AC 15, HD 2**, #At 2 claws/1 bite, Dam 1d4/1d4/1d4 + paralysis + stench, Mv 30', Sv F2, Ml 9","Ghast: AC 15, HD 2**, #At 2 claws/1 bite, Dam 1d4/1d4/1d4 + paralysis + stench, Mv 30', Sv F2, Ml 9, XP 125, #Ap 1d4 Wild/Lair 1d8"
9,UNDEAD,Ghost,Ghost,20*,Cause fear; drains 1 point constitution in additon to damage with hit; telekinesis; posession (magic jar).,10 (+9),10,1 touch/1 gaze,1d6 + special,30',1,F10,10,"E, N, O",5500,Rulebook,"Ghost (AC 20*, HD 10 (+9), #At 1 touch/1 gaze, Dam 1d6 + special, Mv 30', Sv F10, Ml 10)","Ghost: AC 20*, HD 10 (+9), #At 1 touch/1 gaze, Dam 1d6 + special, Mv 30', Sv F10, Ml 10","Ghost (AC 20*, HD 10 (+9), #At 1 touch/1 gaze, Dam 1d6 + special, Mv 30', Sv F10, Ml 10)","Ghost: AC 20*, HD 10 (+9), #At 1 touch/1 gaze, Dam 1d6 + special, Mv 30', Sv F10, Ml 10","Ghost: AC 20*, HD 10 (+9), #At 1 touch/1 gaze, Dam 1d6 + special, Mv 30', Sv F10, Ml 10, XP 5500, #Ap 1"
9,UNDEAD,Ghoul,Ghoul,14,,2*,2,2 claws/1 bite,"1d4/1d4/1d4, all plus paralysis",30',1d6 Wild/Lair 2d8,F2,9,B,100,Rulebook,"Ghoul (AC 14, HD 2*, #At 2 claws/1 bite, Dam 1d4/1d4/1d4, all plus paralysis, Mv 30', Sv F2, Ml 9)","Ghoul: AC 14, HD 2*, #At 2 claws/1 bite, Dam 1d4/1d4/1d4, all plus paralysis, Mv 30', Sv F2, Ml 9","Ghoul (AC 14, HD 2*, #At 2 claws/1 bite, Dam 1d4/1d4/1d4, all plus paralysis, Mv 30', Sv F2, Ml 9)","Ghoul: AC 14, HD 2*, #At 2 claws/1 bite, Dam 1d4/1d4/1d4, all plus paralysis, Mv 30', Sv F2, Ml 9","Ghoul: AC 14, HD 2*, #At 2 claws/1 bite, Dam 1d4/1d4/1d4, all plus paralysis, Mv 30', Sv F2, Ml 9, XP 100, #Ap 1d6 Wild/Lair 2d8"
9,GIANT,Cloud Giant,"Giant, Cloud",19 (13),Throwing large stones to 200' for 3d6 damage,12+3* (+10),12,1 giant weapon or 1 thrown rock,6d6 or 3d6,20' Unarmored 40' (10'),1d2 Wild/Lair 1d3,F12,10,E plus 1d12x1000 gp,"1,975",Rulebook,"Cloud Giant (AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10)","Cloud Giant: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10","Cloud Giant (AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10)","Cloud Giant: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10","Giant, Cloud: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10, XP 1,975, #Ap 1d2 Wild/Lair 1d3"
9,GIANT,Cloud Giant armored,"Giant, Cloud",19,Throwing large stones to 200' for 3d6 damage,12+3* (+10),12,1 giant weapon or 1 thrown rock,6d6 or 3d6,20' (10'),1d2 Wild/Lair 1d3,F12,10,See Cloud Giant,"1,975",Rulebook,"Cloud Giant armored (AC 19, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' (10'), Sv F12, Ml 10)","Cloud Giant armored: AC 19, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' (10'), Sv F12, Ml 10","Cloud Giant armored (AC 19, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' (10'), Sv F12, Ml 10)","Cloud Giant armored: AC 19, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' (10'), Sv F12, Ml 10","Giant, Cloud: AC 19, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' (10'), Sv F12, Ml 10, XP 1,975, #Ap 1d2 Wild/Lair 1d3"
9,GIANT,Cloud Giant unarmored,"Giant, Cloud",13,Throwing large stones to 200' for 3d6 damage,12+3* (+10),12,1 giant weapon or 1 thrown rock,6d6 or 3d6,40' (10'),1d2 Wild/Lair 1d3,F12,10,See Cloud Giant,"1,975",Rulebook,"Cloud Giant unarmored (AC 13, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 40' (10'), Sv F12, Ml 10)","Cloud Giant unarmored: AC 13, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 40' (10'), Sv F12, Ml 10","Cloud Giant unarmored (AC 13, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 40' (10'), Sv F12, Ml 10)","Cloud Giant unarmored: AC 13, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 40' (10'), Sv F12, Ml 10","Giant, Cloud: AC 13, HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 40' (10'), Sv F12, Ml 10, XP 1,975, #Ap 1d2 Wild/Lair 1d3"
9,GIANT,Cloud Giant with Magic Ability,"Giant, Cloud",19 (13),2d4 levels as Magic-User,12+3* (+10),12,1 giant weapon or 1 thrown rock,6d6 or 3d6,20' Unarmored 40' (10'),5% chance each,F12,10,See Cloud Giant,"2,075",Rulebook,"Cloud Giant with Magic Ability (AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10)","Cloud Giant with Magic Ability: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10","Cloud Giant with Magic Ability (AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10)","Cloud Giant with Magic Ability: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10","Giant, Cloud: AC 19 (13), HD 12+3* (+10), #At 1 giant weapon or 1 thrown rock, Dam 6d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F12, Ml 10, XP 2,075, #Ap 5% chance each"
9,GIANT,Cyclops,"Giant, Cyclops",15 (13),Throwing large stones to 200' for 3d6 damage; -2 to-hit; bestow curse once a year,13* (+10),13,1 giant club or 1 rock (thrown),3d10 or 3d6,20' Unarmored 30',1 Wild/Lair 1d4,F13,9,E plus 1d8x1000 gp,"2,285",Rulebook,"Cyclops (AC 15 (13), HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20' Unarmored 30', Sv F13, Ml 9)","Cyclops: AC 15 (13), HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20' Unarmored 30', Sv F13, Ml 9","Cyclops (AC 15 (13), HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20' Unarmored 30', Sv F13, Ml 9)","Cyclops: AC 15 (13), HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20' Unarmored 30', Sv F13, Ml 9","Giant, Cyclops: AC 15 (13), HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20' Unarmored 30', Sv F13, Ml 9, XP 2,285, #Ap 1 Wild/Lair 1d4"
9,GIANT,Cyclops armored,"Giant, Cyclops",15,Throwing large stones to 200' for 3d6 damage; -2 to-hit; bestow curse once a year,13* (+10),13,1 giant club or 1 rock (thrown),3d10 or 3d6,20',1 Wild/Lair 1d4,F13,9,E plus 1d8x1000 gp,"2,285",Rulebook,"Cyclops armored (AC 15, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20', Sv F13, Ml 9)","Cyclops armored: AC 15, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20', Sv F13, Ml 9","Cyclops armored (AC 15, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20', Sv F13, Ml 9)","Cyclops armored: AC 15, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20', Sv F13, Ml 9","Giant, Cyclops: AC 15, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 20', Sv F13, Ml 9, XP 2,285, #Ap 1 Wild/Lair 1d4"
9,GIANT,Cyclops unarmored,"Giant, Cyclops",13,Throwing large stones to 200' for 3d6 damage; -2 to-hit; bestow curse once a year,13* (+10),13,1 giant club or 1 rock (thrown),3d10 or 3d6,30',1 Wild/Lair 1d4,F13,9,E plus 1d8x1000 gp,"2,285",Rulebook,"Cyclops unarmored (AC 13, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 30', Sv F13, Ml 9)","Cyclops unarmored: AC 13, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 30', Sv F13, Ml 9","Cyclops unarmored (AC 13, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 30', Sv F13, Ml 9)","Cyclops unarmored: AC 13, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 30', Sv F13, Ml 9","Giant, Cyclops: AC 13, HD 13* (+10), #At 1 giant club or 1 rock (thrown), Dam 3d10 or 3d6, Mv 30', Sv F13, Ml 9, XP 2,285, #Ap 1 Wild/Lair 1d4"
9,GIANT,Fire Giant,"Giant, Fire",17 (13),Throwing large stones to 200' for 3d6 damage; immune to all fire attacks,11+2* (+9),11,1 giant weapon or 1 thrown rock,5d6 or 3d6,20' Unarmored 40' (10'),1d2 Wild/Lair 1d3,F11,9,E plus 1d10x1000 gp,"1,670",Rulebook,"Fire Giant (AC 17 (13), HD 11+2* (+9), #At 1 giant weapon or 1 thrown rock, Dam 5d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F11, Ml 9)","Fire Giant: AC 17 (13), HD 11+2* (+9), #At 1 giant weapon or 1 thrown rock, Dam 5d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F11, Ml 9","Fire Giant (AC 17 (13), HD 11+2* (+9), #At 1 giant weapon or 1 thrown rock, Dam 5d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F11, Ml 9)","Fire Giant: AC 17 (13), HD 11+2* (+9), #At 1 giant weapon or 1 thrown rock, Dam 5d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F11, Ml 9","Giant, Fire: AC 17 (13), HD 11+2* (+9), #At 1 giant weapon or 1 thrown rock, Dam 5d6 or 3d6, Mv 20' Unarmored 40' (10'), Sv F11, Ml 9, XP 1,670, #Ap 1d2 Wild/Lair 1d3"
